IF1207 	20120612 	2 	13 	银河期货 	346 	64 	0109 	IF 	
IF1207 	20120612 	0 	14 	浙江永安 	3387 	428 	0003 	IF 	
IF1207 	20120612 	1 	14 	鲁证期货 	744 	235 	0006 	IF 	
IF1207 	20120612 	2 	14 	兴业期货 	313 	205 	0102 	IF 	
IF1207 	20120612 	0 	15 	中国国际 	3226 	341 	0159 	IF 	
IF1207 	20120612 	1 	15 	招商期货 	672 	41 	0136 	IF 	
IF1207 	20120612 	2 	15 	国信期货 	306 	-47 	0113 	IF 	
IF1207 	20120612 	0 	16 	浙商期货 	3057 	975 	0009 	IF 	
IF1207 	20120612 	1 	16 	兴业期货 	666 	177 	0102 	IF 	
IF1207 	20120612 	2 	16 	东海期货 	253 	43 	0008 	IF 	
IF1207 	20120612 	0 	17 	宏源期货 	3027 	623 	0137 	IF 	
IF1207 	20120612 	1 	17 	浙商期货 	650 	113 	0009 	IF 	
IF1207 	20120612 	2 	17 	国都期货 	246 	46 	0130 	IF 	
IF1207 	20120612 	0 	18 	瑞达期货 	2614 	508 	0170 	IF 	
